pr,merge_sha,merged_at,title,owning_milestone,dispatch_mode,dispatch_run_id,conclusion,notes
341,9892cbe9985dae417ad6b0bf91fa50d2773cc022,2026-04-30T08:11:33Z,"M06 P3 store write path closure",M06,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/341"
342,cde2683dc2dbc3926c29ae1828dc85e730f028a9,2026-04-30T17:02:23Z,"fix(cli): migrate diagnostics to registry domains",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/342"
343,e118673ed5cec02adf0ea9da946aa51eb90e472d,2026-04-30T08:13:42Z,"test(mutants): harden wave 1 mutation survivor cases",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/343"
344,2fa8986e6b11ba9e95416b2c8f68ddb119ef88ed,2026-04-30T13:31:04Z,"test: add dispatch allow dhat bench",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/344"
345,ef1fec343fc9e96455d031ff2d6c4f2439749d09,2026-04-30T14:58:19Z,"ci(mutants): add survivor triage gates",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/345"
346,3fa0dd127cf700f4d9b5b7463959907a489c90d0,2026-04-30T13:45:32Z,"ci: add browser kernel twiggy artifact",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/346"
347,679e1cd2618ec8e3f92f42e296c9ad19de53e8dd,2026-04-30T13:51:03Z,"feat(conformance): add verdict matrix rust driver",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/347"
348,333a7ed530969c6f343c1e242ac86e4efc7280da,2026-04-30T16:05:03Z,"Seed hardware custody and model-card security baseline",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/348"
349,acb62a8e94746b18413acc57402e6862a99b0faf,2026-04-30T21:59:18Z,"[M04] Close revocation oracle P0+P1 phase",M04,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/349"
351,f1d5122687fa83cc44504dc5d367ec2175971800,2026-04-30T15:09:04Z,"feat(conformance): add Python and Go verdict matrix drivers",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/351"
352,6805861180c467830549cdfd1fdafadbcfafb064,2026-04-30T17:02:16Z,"Add verdict matrix TypeScript and WASM drivers",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/352"
353,a08db4dfc4b6d55f8421ecbeb9194e0d02c89d65,2026-04-30T14:55:51Z,"Open PQ and TEE verifier dependency set",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/353"
354,c1d6da564976e2f9801b66b1d27b370982d4a70f,2026-04-30T14:48:29Z,"fix: isolate wasm guard loom model deps",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/354"
356,07f1a9f63d7bc8aba303ffb675225de455dcb6ca,2026-04-30T14:59:41Z,"feat: add adversarial suite crate skeleton",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/356"
357,1aadbe24d6ba94222fce4a94fa81721fc3d0aa0b,2026-04-30T15:16:00Z,"fix: bound wasm warm tenant rings",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/357"
358,e8fe0d2b47dc40ca8fc1c7eeab4cd170b7183fff,2026-04-30T15:43:42Z,"build(m05): restore attest verifier toml pin",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/358"
359,ee6f108f9620265eda346f2d609944caa69006da,2026-04-30T17:02:10Z,"feat(trajectory-2): open M08 arena P0-P1 phase",M08,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/359"
360,9e39a12ce86234c7eefe5a6aea743a01556b1e7b,2026-04-30T17:02:05Z,"docs(trajectory-2): close out M02 P5 verdict bookkeeping",M02,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/360"
361,1e2a609714dcb33436ec15dff16e3d6e5b3d2a6d,2026-04-30T16:04:00Z,"test(trajectory-2): close M06 P5 performance phase",M06,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/361"
362,429424f0e2e61ab0612ebd28ffb639f7f0fab200,2026-04-30T21:45:24Z,"[M03] Close PQ primitives P1 phase",M03,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/362"
363,92c3d344689b6706ee54e0aaaa45cf5ba1c21334,2026-04-30T17:50:45Z,"[M07] Open SDK matrix phase 0",M07,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/363"
364,d71e27247816c6ad28dfcd8eacdd245c425fdbe8,2026-04-30T22:03:07Z,"[M05] Close adversarial corpus P1 phase",M05,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/364"
365,d84a79e83183514fdb314e401e773e661f50b247,2026-04-30T17:50:50Z,"[M08] Close arena phase 2",M08,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/365"
366,fe42a39702b44f4e3785184c35b7fb0c4839c37b,2026-04-30T17:50:55Z,"[M01] Close phase 3",M01,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/366"
367,4a21d9027623dd047491460d0ea77ef22fa99d88,2026-04-30T18:02:20Z,"[M09] Open lineage and economics phase 0",M09,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/367"
368,b161b358d271f988603fe60fd1161eec587638c4,2026-04-30T18:05:41Z,"[M07] Close SDK matrix phase 1",M07,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/368"
369,4450a6aa1adcb7dd09ce26b811449b8bdd7e31fa,2026-04-30T18:09:58Z,"[M08] Close arena phase 3",M08,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/369"
370,6b66844ffad6e1fdd9ee00fd0a10a71e7f0b1daf,2026-04-30T18:12:05Z,"[M01] Close phase 4",M01,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/370"
371,38a6f884d2bc6f2117cc8a79ec12139027db08e2,2026-04-30T18:30:08Z,"[M01] Close phase 5",M01,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/371"
372,fe0ee29b2347e41cc6b1f17edebaf540c4d30b31,2026-04-30T18:33:37Z,"[M08] Close arena phase 4",M08,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/372"
373,bdf3764f54891e6632311e445e4150a66f3b3a47,2026-04-30T18:34:22Z,"[M09] Close lineage and economics phase 1",M09,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/373"
374,b0330fa2d0a676b383063bc8437f760718476eb4,2026-04-30T18:37:20Z,"[M07] Close SDK matrix phase 2",M07,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/374"
375,f83fec5de69f33d9a8275435e39553e4c9b9a563,2026-04-30T21:59:26Z,"[M10] Close hardware custody phase 1",M10,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/375"
376,b29e2d04584777f47abc57ebb2b0ee1fd0a6bae5,2026-04-30T18:58:57Z,"[M07] Close SDK matrix phase 3",M07,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/376"
377,30d36a81f9d314187a904a956324697864fda183,2026-04-30T19:00:27Z,"[M08] Close arena phase 5",M08,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/377"
378,2999f1f0735d692bcad82efbcd1b70327e14a17e,2026-04-30T19:18:59Z,"[M09] Close lineage and economics phase 2",M09,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/378"
379,27628e4fb1b942693a38dab7ac2921b0aa7300bc,2026-04-30T19:31:47Z,"[M09] Close lineage and economics phase 3",M09,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/379"
380,a27966243f6e359a905749396b1b806a27bde17d,2026-04-30T19:47:36Z,"[M07] Close SDK matrix phase 4",M07,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/380"
381,aee9e029006704dd2c0020efbd6244e50183cceb,2026-04-30T20:05:33Z,"[M07] Close SDK matrix phase 5",M07,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/381"
382,a1a43d0fa4da849536f4f7780139f16a7472e9a7,2026-04-30T20:15:15Z,"[M09] Close lineage and economics phase 4",M09,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/382"
383,fbecc3eef988dc2c9aa85f31dcfbaa3769e76884,2026-04-30T20:39:46Z,"[M07] Close SDK matrix phase 6",M07,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/383"
384,970c04499e376397cd5da0586d6699f37dddfd78,2026-04-30T20:45:50Z,"[M09] Close lineage and economics phase 5",M09,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/384"
385,b606a88207e10319e451a32ce78b83661b6b25d2,2026-04-30T21:45:14Z,"[M08] review-comment follow-up (PRs #365-#377)",M08,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/385"
386,def0afe4f97a2b2fe620862378175c404bc3c617,2026-04-30T21:45:19Z,"[cross-cutting] review-comment follow-up (PRs #352 #359)",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/386"
387,a9e6839ab59b2e2e17c11bcd0fbcc79ad8d4cf28,2026-04-30T21:59:12Z,"[M09] review-comment follow-up (PRs #367-#384)",M09,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/387"
388,fdbcfe268bbab6281fdf11b91154778d5ed5d4f4,2026-04-30T21:45:09Z,"[M01] review-comment follow-up (PRs #366 #370 #371)",M01,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/388"
389,19c03e3a9948578498709c28a28f6c36b00b44cd,2026-04-30T21:45:03Z,"[M07] review-comment follow-up (PRs #363-#383)",M07,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/389"
390,4b3aef5c8dac31ab7ee1469dc6f9d72e3c60b183,2026-04-30T22:41:31Z,"M05 P2 - Cross-promotion plumbing",M05,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/390"
391,4b235abb02978481f73d735e1c022ac36ee0785c,2026-04-30T22:41:16Z,"M02 P5 - verdict matrix TS/WASM drivers, gate flip, corpus pin",M02,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/391"
392,3a76eafdd78e4bbcbe5227606d81fd316d641bce,2026-04-30T22:41:40Z,"M04 P2 - Federation gossip + RevocationView cache",M04,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/392"
393,d8ffa47d70f6146f590095dc68c1ba1e30f5dff0,2026-04-30T22:41:52Z,"M10 P2 - hardware custody trust boundary (HybridBackend, replay, revocation, kernel verifier, e2e)",M10,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/393"
394,ff989294ef08e5ee55326f41ebf4d24066eae34d,2026-04-30T22:42:10Z,"M03 P2 - hybrid signing in receipts, capabilities, compliance",M03,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/394"
395,d372e5bb3a0a2e118e3bfc609537371ab6a0805c,2026-04-30T22:46:29Z,"M02 audit close-out - milestone complete",M02,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/395"
396,48a8658edeeecf7023ffb34333b8d71a7acb38c6,2026-04-30T23:44:14Z,"M10 P3 - Browser passkey flow: @chio/passkey TS helper, demo, e2e revocation",M10,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/396"
397,a426689e4682c9ba446a1b5ce51a53072bf83fd5,2026-04-30T23:44:27Z,"M03 P3 - Intel TDX DCAP backend in chio-attest-verify",M03,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/397"
398,2f2bee7ac6d3ac6858b7bc7a7316952a2deb53d4,2026-04-30T23:44:43Z,"M04 P3 - Recursive delegation primitive + signed-receipt envelope",M04,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/398"
399,89fe7dbf7a39e310b630fe031c30b67d7dad74bd,2026-04-30T23:45:01Z,"M05 P3 — WASM guard escape harness",M05,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/399"
400,64c95e3b6cf6e3357b71c172ade3d4dbd8c9e983,2026-05-01T01:03:21Z,"M03 P4 - SEV-SNP, Nitro NSM, and cross-backend conformance",M03,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/400"
401,3ad54aa1a523437807a7c0cc69a01a395ac22e59,2026-05-01T01:03:33Z,"M10 P4 - chio-weights model-card surface, kernel binding refusal, arc bind --card",M10,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/401"
402,75cd3994eb7e050ef86bfd7cf7f29d578487a448,2026-05-01T01:05:53Z,"M05 P4 - expected_identity policy hardening",M05,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/402"
403,05cef00189e08e7de7b28d705435264ae9763146,2026-05-01T01:06:01Z,"M04 P4 - Formal sweep: Lean theorems, Apalache module, Kani harnesses, MAPPING",M04,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/403"
404,8441a931d8c87bff41616f7790edd0dae502c3ea,2026-05-01T03:03:24Z,"M10 P5 - milestone close-out: lineage, equivalence, threat coverage, audit, docs",M10,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/404"
405,3c3d9ce9bcdd40312ba02f105694bacc95348ce1,2026-05-01T03:03:35Z,"M03 P5 - cross-cutting PQ+TEE composition, migration, CanonicalBytes wiring, threat-model handshake, audit close-out",M03,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/405"
406,30a461bebeb8720aeaf1f70d08d0224c83dbad22,2026-05-01T03:05:00Z,"M05 P5 - Threat-model-as-code (close-out)",M05,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/406"
407,e8e62b4209df6bb6174f87f1fcfcf53e467696d7,2026-05-01T03:05:10Z,"deslop(sdks+tools): strip ticket metadata from SDKs, editors, scripts, CI, bench",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/407"
408,15a909410a9ea752443444d170377299512edfb1,2026-05-01T03:05:20Z,"deslop(M03): strip ticket metadata from chio-pq and chio-attest-verify comments",M03,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/408"
409,37ca566bbd62d8552945300ede7ae8ba7aa83b64,2026-05-01T03:05:31Z,"deslop(M04): strip ticket metadata from delegation and revocation surfaces",M04,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/409"
410,81bd81b72262eac07e57b814da507e6559078775,2026-05-01T03:05:42Z,"deslop(M05): strip ticket metadata from adversarial and threat-model surfaces",M05,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/410"
411,4e54734182c9e2a0c192dd0b158dadb997a8d583,2026-05-01T03:07:23Z,"deslop(M10): strip ticket metadata from custody and model-card surfaces",M10,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/411"
412,4617d178f53f5637982890c8b48f0ce5fe2dd480,2026-05-01T03:07:41Z,"deslop(core): strip ticket metadata from kernel, cli, core-types, canonical-bytes, errors, guards",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/412"
413,ff0b8529a07aa6d3132b1db2edda94d8e641c2eb,2026-05-01T03:08:00Z,"deslop(misc): strip ticket metadata from conformance, arena, lineage, lsp, marketplace, providers, guard-registry, reputation, sqlite, browser",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/413"
414,e4b07904cd400ef5861cd5a5cca175f72a92f734,2026-05-01T03:22:56Z,"M04 P5 - End-to-end acceptance and delegation_v2 default-on flip",M04,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/414"
415,8590461957a7935ccdde62e3bb8079bc6848a3b8,2026-05-01T04:25:42Z,"fix(M01): sweep P0/P1/P2 review and audit findings",M01,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/415"
416,1a69ad155ab9cee6baa71d5a09e58739f9b3d6ae,2026-05-01T04:53:19Z,"fix(M02): sweep P0/P1/P2 review and audit findings",M02,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/416"
417,a15960dddd5b10b16f71778cb9149ec2366d66ff,2026-05-01T05:24:42Z,"fix(M03): sweep P0/P1/P2 review and audit findings",M03,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/417"
418,b785bebce632e3fc55a8b709c57721b736a02f14,2026-05-01T05:49:57Z,"fix(M04): sweep P0/P1/P2 review and audit findings",M04,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/418"
419,0445ba1fecac460ecaee352873ae34dcfe7b8352,2026-05-01T06:11:25Z,"fix(M05): sweep P0/P1/P2 review and audit findings",M05,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/419"
420,31ca16cee2d994d1bc1e61201d4a201ad9fa55cb,2026-05-01T06:44:33Z,"fix(M06): sweep P0/P1/P2 review and audit findings",M06,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/420"
421,cc00a168d972453db5058d4b0ff6dbb012a10858,2026-05-01T07:02:32Z,"fix(M07): sweep P0/P1/P2 review and audit findings",M07,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/421"
422,567f3dc277cabac514c4a9d724e0a8d204601a69,2026-05-01T07:14:14Z,"fix(M08): sweep P0/P1/P2 review and audit findings",M08,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/422"
423,1bf5bda6a1bed63c756741d93d7ee79cfae24380,2026-05-01T07:27:19Z,"fix(M09): sweep P0/P1/P2 review and audit findings",M09,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/423"
424,0c8a75bed9e920d3655a0ce8893bbd675a423274,2026-05-01T07:46:03Z,"fix(M10): sweep P0/P1/P2 review and audit findings",M10,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/424"
425,4ae22e80ef320058140f12c7e1c355981675d80a,2026-05-01T07:51:38Z,"docs(sweep): add trajectory final report",unassigned,catalog,,not_dispatched,"https://github.com/bb-connor/arc/pull/425"
